"OBJECTID","Drena a","cod_pfs","c","Area_km2","LongCauce_km","tuhp","RioPpal","TipoCuenca","CENTROID_X","CENTROID_Y","Perimetro_km","PendienteMediaCaucePpal (%)","CotaMaxCuenca (m)","CotaMinCuenca (m)","DifCotaCuenca (m)","AlturaMedCuenca (m)","PARAMO HERBACEO POCO ALTERADO","AGROPECUARIO","PARAMO HERBACEO MUY ALTERADO","PLANTACION FORESTAL","VEGETACION HERBACEA HUMEDA MUY ALTERADA","BOSQUE NATIVO HUMEDO MEDIANAMENTE ALTERADO","BOSQUE NATIVO HUMEDO POCO ALTERADO","BOSQUE NATIVO SIN INFO","PARAMO ARBUSTIVO MEDIANAMENTE ALTERADO","PARAMO ARBUSTIVO POCO ALTERADO","PARAMO HERBACEO MEDIANAMENTE ALTERADO","PARAMO SIN INFO","Matorral humedo medianamente alterado","Matorral humedo muy alterado","Matorral humedo poco alterado","Matorral sin info","VEGETACION HERBACEA DE HUMEDAL MEDIANAMENTE ALTERADA","VEGETACION HERBACEA DE HUMEDAL MUY ALTERADA","VEGETACION HERBACEA DE HUMEDAL POCO ALTERADA","VEGETACION HERBACEA HUMEDA MEDIANAMENTE ALTERADA","AREA_POBLADA","CUERPO_DE_AGUA NATURAL","ERIAL","INFRAESTRUCTURA","MATORRAL SECO MEDIANAMENTE ALTERADO","MATORRAL SECO MUY ALTERADO","MATORRAL SECO POCO ALTERADO","VEGETACION HERBACEA SECA MUY ALTERADA","VEGETACION HERBACEA HUMEDA POCO ALTERADA","VEGETACION HERBACEA SECA MEDIANAMENTE ALTERADA","VEGETACION HERBACEA SECA POCO ALTERADA","PARAMO ARBUSTIVO MUY ALTERADO","CUERPO AGUA ARTIFICIAL","GLACIAR","VEGETACION HERBACEA SIN INFO","BOSQUE NATIVO HUMEDO MUY ALTERADO"
1,7,4996814,"Afluente al Rio Chambo","7,96","4,72","Cuenca","Rio Chambo","Cuenca baja",774790,9839054,"12,30405981710","29,17013666750","3610,00000000000","2234,00000000000","1376,00000000000","2877,49498998000",0,2188917,0,137936,45744,0,632713,0,132661,0,0,0,0,442221,4353573,0,0,0,0,0,17308,3568,5749,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7,4996815,"Rio Chambo","25,29","5,10","Intercuenca","Rio Chambo","Cuenca baja",778972,9836295,"23,60432931140","1,74438374675","2325,00000000000","2236,00000000000","89,00000000000","2285,90039062000",665130,6942704,0,594123,1451019,0,0,0,0,0,0,0,1770664,4298215,404443,0,0,0,0,52129,0,285594,8691602,0,0,0,0,0,103163,0,0,0,0,31599,0,0
3,4,4996822,"Quebrada Los Tiacos","8,91","5,20","Cuenca","Rio Puela","Cuenca baja",786673,9834265,"15,87321225940","15,63065646850","3791,00000000000","2978,00000000000","813,00000000000","3341,47454545000",1349480,33387,0,0,0,0,5013917,0,335091,746116,0,0,0,0,0,0,0,0,0,0,0,55,1373089,0,0,0,0,0,0,0,0,0,0,51488,0,0
4,14,4996823,"Rio Puela","0,32","0,63","Intercuenca","Rio Puela","Cuenca baja",787703,9831116,"2,52555711039","5,86231610769","2977,00000000000","2940,00000000000","37,00000000000","2959,40625000000",0,16330,0,0,0,172238,104604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25415,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,16,4996827,"Rio Naranjal","0,88","1,27","Intercuenca","Rio Puela","Cuenca baja",789450,9826659,"3,62057564498","3,45230991088","3186,00000000000","3142,00000000000","44,00000000000","3166,49557522000",0,0,0,0,0,0,283526,0,0,0,0,0,173521,0,281685,0,0,0,0,0,0,31735,0,0,0,0,0,0,105460,0,0,0,0,0,0,0
6,19,4996835,"Rio Blanco","12,76","5,33","Intercuenca","Rio Blanco","Cuenca baja",775706,9822939,"17,79738611020","5,06802640095","2675,00000000000","2405,00000000000","270,00000000000","2520,75409836000",0,8015963,0,1180282,41456,0,0,0,0,0,0,0,136094,235837,407751,0,0,0,12,978995,131017,118210,327857,0,0,0,0,0,55880,9576,1126034,0,0,0,0,0
7,73,4996813,"Rio Chambo","23,49","4,96","Intercuenca","Rio Chambo","Cuenca baja",779049,9839758,"23,53103855650","4,00872007743","2242,00000000000","2043,00000000000","199,00000000000","2169,06611570000",0,6937254,0,561510,175574,0,0,0,0,0,0,0,5256716,334873,2321629,0,0,0,0,160158,257063,152439,6743308,59272,0,0,0,0,528326,0,0,0,0,0,0,0
8,2,4996817,"Rio Chambo","2,55","1,40","Intercuenca","Rio Chambo","Cuenca baja",776564,9833679,"8,05722867342","1,35744326147","2338,00000000000","2319,00000000000","19,00000000000","2329,45751634000",0,1464947,0,122023,166395,0,0,0,0,0,0,0,521742,0,0,0,37135,0,0,63555,0,65546,47869,0,0,0,62397,0,0,0,0,0,0,0,0,0
9,8,4996818,"Quebrada San Martin","8,10","3,72","Cuenca","Rio Chambo","Cuenca baja",771686,9834322,"17,11629878700","26,98211591150","3336,00000000000","2331,00000000000","1005,00000000000","2865,37922078000",0,7473561,0,83018,322915,0,0,0,0,0,0,0,20432,0,0,0,0,0,0,0,102555,0,0,8472,0,0,42457,45822,0,0,0,0,0,0,0,0
10,8,4996819,"Rio Chambo","13,68","1,76","Intercuenca","Rio Chambo","Cuenca baja",772919,9832692,"19,77806006360","1,36026726684","2355,00000000000","2331,00000000000","24,00000000000","2341,53757225000",0,11320411,0,201051,66197,0,0,0,0,0,0,0,643091,1143,213956,0,71920,0,0,5833,20414,65207,93099,0,98851,0,562783,315775,0,0,0,0,0,0,0,0
11,2,4996816,"Quebrada Guilles","42,73","15,94","Cuenca","Rio Chambo","Cuenca baja",769692,9835712,"38,94296180520","10,44107707420","3985,00000000000","2321,00000000000","1664,00000000000","3256,48313918000",5726333,27725562,797966,654106,5970446,0,0,0,0,0,0,0,918988,93489,209834,0,0,0,0,44677,6972,352718,15982,10244,0,0,0,0,0,0,0,203883,0,0,0,0
12,73,4996812,"Quebrada Peraspamba","10,59","4,53","Cuenca","Rio Chambo","Cuenca baja",775645,9842329,"17,21969203010","18,15679947030","2869,00000000000","2046,00000000000","823,00000000000","2541,15957447000",0,5296096,0,110681,0,0,0,0,423141,0,0,0,184659,137449,4000967,0,0,0,0,56345,187402,0,0,196307,0,0,0,0,0,0,0,0,0,0,0,0
13,15,4996829,"Rio Chorreras","43,74","10,24","Intercuenca","Rio Puela","Cuenca baja",786016,9820223,"31,59904142520","8,79294320432","4090,00000000000","3190,00000000000","900,00000000000","3543,57619477000",24035976,0,0,0,0,0,2857705,0,0,0,0,0,0,0,9828011,0,0,0,0,0,0,52032,5233477,0,0,0,0,0,832095,0,0,0,0,899674,0,0
14,10,4996821,"Rio Puela","72,91","14,38","Intercuenca","Rio Puela","Cuenca baja",782508,9831265,"37,33412936190","4,50473441931","2997,00000000000","2349,00000000000","648,00000000000","2618,10533708000",3007379,20697467,0,945689,542886,10847421,2172398,0,5928725,1730225,0,0,12818806,589788,9030089,0,923,0,0,218006,154124,526670,3029014,10803,0,0,0,0,572974,0,0,0,0,86783,0,0
15,5,4996828,"Rio Ventanas","37,73","9,42","Cuenca","Rio Puela","Cuenca baja",790596,9820603,"28,57128553730","3,93837601321","3556,00000000000","3185,00000000000","371,00000000000","3311,18249733000",4087575,0,0,0,0,0,5134903,0,0,664385,0,0,1559339,0,12726332,16781,0,0,0,0,0,50201,8735542,0,0,0,0,0,3290286,0,0,0,0,1461032,0,0
16,4,4996825,"Rio Naranjal","16,52","4,46","Intercuenca","Rio Puela","Cuenca baja",789273,9827720,"22,62615888990","4,77893130356","3185,00000000000","2972,00000000000","213,00000000000","3065,09684685000",111029,42367,0,0,0,4421397,3870429,0,0,0,0,0,2738254,0,3151942,0,0,0,0,0,0,159960,0,0,0,0,0,0,2027464,0,0,0,0,0,0,0
17,4,4996824,"Rio Sigsal","32,00","5,66","Cuenca","Rio Puela","Cuenca baja",790644,9832006,"28,17111097250","10,47030031580","3562,00000000000","2969,00000000000","593,00000000000","3246,40072202000",4896144,0,0,0,0,0,14986037,0,0,4354435,0,0,1765957,0,218277,0,0,0,0,0,0,107459,268712,0,0,0,0,0,5399683,0,0,0,0,0,0,0
18,16,4996826,"Rio Cubillin","20,77","8,94","Cuenca","Rio Puela","Cuenca baja",784947,9824635,"22,77939477990","8,20323979049","3877,00000000000","3144,00000000000","733,00000000000","3404,37460651000",6254035,0,0,0,0,296148,786634,0,0,1109086,0,0,0,0,11968578,0,0,0,71141,0,0,189,209308,0,0,0,0,0,77359,0,0,0,0,0,0,0
19,26,4996834,"Rio Chambo","43,80","8,53","Cuenca","Rio Chambo","Cuenca baja",772793,9818320,"31,89729529550","0,85535298008","2479,00000000000","2406,00000000000","73,00000000000","2443,24675325000",4170307,25604771,32987,3973566,51722,110019,543364,0,0,82821,2051146,0,1914935,45630,0,0,0,0,0,905804,184304,440357,376345,26431,121716,0,0,2002247,534616,499424,62733,0,0,0,0,65862
20,6,4996837,"Rio Blanco","28,98","6,44","Intercuenca","Rio Blanco","Cuenca baja",777670,9818537,"29,49109914060","7,09540021209","3100,00000000000","2643,00000000000","457,00000000000","2866,01236476000",6905042,13303126,0,644006,418639,0,0,0,260124,0,0,0,1358002,1239375,3474196,0,0,0,0,697833,222331,166037,190092,0,0,0,0,0,105039,0,0,0,0,0,0,0
21,10,4996831,"Rio Chambo","0,38","0,38","Intercuenca","Rio Chambo","Cuenca baja",776488,9831395,"2,80902907637","5,30537495745","2370,00000000000","2350,00000000000","20,00000000000","2358,45454545000",0,210153,0,44620,1611,0,0,0,0,0,0,0,54195,0,0,0,0,0,0,0,1268,25932,1234,0,376,0,0,41683,0,0,0,0,0,0,0,0
22,21,4996832,"Rio Matus","29,75","8,54","Cuenca","Rio Chambo","Cuenca baja",779014,9826720,"26,63616245950","10,11108291490","3217,00000000000","2354,00000000000","863,00000000000","2720,20967742000",2958632,16328657,0,1186447,0,0,2323276,0,0,1946719,0,0,1038172,0,3316690,0,0,0,33869,71114,549153,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,20,4996838,"Rio Collanes","27,88","8,80","Cuenca","Rio Blanco","Cuenca baja",783185,9815528,"26,66482557100","12,42258847180","4218,00000000000","3125,00000000000","1093,00000000000","3651,89437428000",16505823,211620,0,220450,0,79272,0,0,370004,489851,0,0,0,156441,2036965,0,0,0,30192,299,0,477524,4836264,0,0,0,0,0,0,0,0,0,0,2468261,0,0
24,20,4996839,"Rio Blanco","60,64","10,84","Intercuenca","Rio Blanco","Cuenca baja",780094,9811281,"35,06293828770","12,17589786880","4419,00000000000","3099,00000000000","1320,00000000000","3585,26696833000",43201129,4409380,0,1978267,0,0,0,0,0,14810,0,26601,1628673,335789,1271163,12317,0,0,159324,16113,0,180240,5497352,0,0,0,0,0,0,0,0,0,0,737625,0,1171345
25,67,4996846,"Quebrada Basacón","39,64","20,78","Cuenca","Rio Guano","Cuenca baja",752231,9826169,"46,35733564090","5,67803399054","3917,00000000000","2737,00000000000","1180,00000000000","3169,40477327000",1265480,26641391,0,5282923,1044440,0,0,0,0,0,15309,0,0,0,0,0,0,0,0,0,1459284,0,599900,245244,0,0,0,3086039,0,0,0,0,0,0,0,0
26,21,4996833,"Rio Chambo","54,35","11,15","Intercuenca","Rio Chambo","Cuenca baja",772818,9827611,"32,50682100040","0,59197157143","2419,00000000000","2353,00000000000","66,00000000000","2377,80752014000",0,33418547,0,5378717,269470,0,0,0,0,0,0,0,4571677,0,179612,0,0,0,140879,49753,2057827,628946,1230097,163140,3494697,0,10408,934681,20516,60531,1739495,0,0,0,0,0
27,6,4996836,"Rio Candelaria","16,01","6,02","Cuenca","Rio Blanco","Cuenca baja",780314,9821871,"16,81779184440","24,03709647600","4115,00000000000","2669,00000000000","1446,00000000000","3495,79396985000",8435055,1786066,0,80564,43811,49351,0,0,0,30153,0,0,218333,433306,4857449,0,0,0,0,76674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,25,4996848,"Quebrada Chilcachaca","52,25","11,95","Cuenca","Rio Guano","Cuenca baja",749558,9832682,"36,95098112990","13,40148756810","4760,00000000000","3159,00000000000","1601,00000000000","3699,78571429000",9722800,31010364,0,1331253,273019,0,0,0,0,0,161884,79548,0,0,0,1015464,0,0,0,0,217234,0,6244390,68571,0,0,0,0,0,0,0,0,0,2128349,0,0
29,30,4996849,"Quebrada del Rayo","52,89","11,44","Intercuenca","Rio Guano","Cuenca baja",754945,9832518,"40,41757507090","6,98481490845","3928,00000000000","3129,00000000000","799,00000000000","3438,63964758000",5002300,44678322,0,2077412,173825,0,0,0,0,4033,0,0,304768,0,61568,166711,0,0,0,0,188045,26851,84777,16607,0,0,0,101210,0,0,0,0,0,0,0,0
30,67,4996847,"Rio Guano","64,27","11,07","Intercuenca","Rio Guano","Cuenca baja",759953,9827427,"39,39141298320","3,66622263685","3138,00000000000","2732,00000000000","406,00000000000","2921,79930495000",10032484,31279115,0,5222036,3669391,0,0,0,0,97494,492171,0,2133547,0,1620014,0,0,0,0,0,1190375,2784,54383,203253,229350,18524,0,8022802,0,0,0,0,0,0,0,0
31,19,4996841,"Rio Guano","17,51","3,95","Intercuenca","Rio Guano","Cuenca baja",767467,9818511,"19,92570406790","2,30189356438","2569,00000000000","2478,00000000000","91,00000000000","2525,31784841000",0,13664498,0,601708,34465,0,0,0,0,0,1008720,0,0,0,0,0,0,0,0,239090,506816,101,225042,73208,0,0,0,904025,50586,203385,0,0,0,0,0,0
32,72,4996844,"Quebrada Las Abras","65,03","21,60","Cuenca","Rio Guano","Cuenca baja",755655,9821248,"53,55056864670","3,11043770990","3263,00000000000","2591,00000000000","672,00000000000","2940,51701281000",0,45111259,0,5741931,127511,0,0,0,24847,0,21982,0,115526,3592,0,0,0,90095,92242,74926,5489402,6953,207016,359508,0,0,0,7432543,0,29003,0,91685,5997,0,0,0
33,31,4996842,"Quebrada de Chacón","40,15","15,49","Cuenca","Rio Guano","Cuenca baja",767839,9827708,"35,26023242460","8,71615143247","3920,00000000000","2570,00000000000","1350,00000000000","3132,29922280000",2642062,31124522,0,3385747,213091,0,0,0,0,0,84854,0,314772,0,211425,0,0,0,0,0,172153,0,9988,11455,0,0,0,1976328,0,0,0,0,0,0,0,0
34,19,4996851,"Rio Chambo","84,07","10,75","Intercuenca","Rio Chambo","Cuenca media",770556,9811530,"39,85850074710","1,27431985625","2616,00000000000","2479,00000000000","137,00000000000","2544,27838828000",15496674,45660432,0,4512201,398485,166122,1372897,0,286413,0,0,0,7149699,221902,38603,0,0,0,6899,3339649,799905,531801,363065,539463,7696,0,0,137096,87751,2100568,851628,0,0,0,0,0
35,71,4996864,"Quebrada Guaslín","33,58","11,83","Cuenca","Rio Chibunga","Cuenca media",758464,9807233,"28,33136788400","7,56743668828","3533,00000000000","2638,00000000000","895,00000000000","2935,72071307000",0,18688063,94301,4871541,25909,0,0,0,0,0,0,0,192375,76815,0,0,0,0,0,1607565,880373,0,3344468,15135,0,0,0,857405,114869,753549,2057207,0,0,0,0,0
36,38,4996868,"Rio Cajabamba","133,84","14,06","Cuenca","Rio Chibunga","Cuenca media",744793,9810974,"57,67402261730","6,80031443490","4048,00000000000","3092,00000000000","956,00000000000","3346,13997214000",0,60115094,220883,6996415,13919201,0,0,0,0,0,45830634,0,74976,57515,0,0,0,0,503,0,3171479,1819149,1341448,249128,0,0,0,0,0,0,0,0,0,0,0,44678
37,38,4996869,"Rio Chimborazo","174,94","29,57","Intercuenca","Rio Chibunga","Cuenca media",743003,9826383,"69,76373211950","5,85994359779","4825,00000000000","3092,00000000000","1733,00000000000","3645,22130607000",54666400,60270421,1930806,5030974,1009727,0,0,0,473945,248421,8886955,0,408647,85045,0,264970,0,0,1263528,866222,1957163,0,29732992,569977,0,0,0,0,0,0,0,171435,0,5194566,1905139,0
38,39,4996867,"Rio Chibunga","71,91","14,18","Intercuenca","Rio Chibunga","Cuenca media",754731,9816613,"38,19158731220","2,35592851688","3091,00000000000","2757,00000000000","334,00000000000","2915,52911208000",0,39009068,0,9148196,6632166,0,0,0,0,0,0,0,175350,73596,0,0,0,0,0,594111,12315240,0,930013,911822,0,71115,0,33619,163388,1368420,471559,0,10511,0,0,0
