"ID","ID_fin","nombre","area","s0","tau","fcp","fce"
1,7,"Afluente al Rio Chambo",7.96,11.19,0.5,1.05,0.99
2,7,"Rio Chambo",25.29,8.9,0.5,1.05,0.99
3,4,"Quebrada Los Tiacos",8.91,9.73,0.5,1.55,0.75
4,14,"Rio Puela",0.32,10.51,0.5,1.5,0.75
5,16,"Rio Naranjal",0.88,11.36,0.5,1.5,0.75
6,19,"Rio Blanco",12.76,10.97,0.5,1.09,0.75
7,73,"Rio Chambo",23.49,9.07,0.5,1.05,0.99
8,2,"Rio Chambo",2.55,11.37,0.5,1.05,0.98
9,8,"Quebrada San Martin",8.10,10.92,0.5,1.05,0.98
10,8,"Rio Chambo",13.68,11.03,0.5,1.05,0.98
11,2,"Quebrada Guilles",42.73,11.87,0.5,1.05,0.98
12,73,"Quebrada Peraspamba",10.59,11,0.5,1.05,0.99
13,15,"Rio Chorreras",43.74,11.83,0.5,1.6,0.75
14,10,"Rio Puela",72.91,11.03,0.5,1.47,0.75
15,5,"Rio Ventanas",37.73,9.55,0.5,1.6,0.75
16,4,"Rio Naranjal",16.52,10.7,0.5,1.5,0.75
17,4,"Rio Sigsal",32.00,11.44,0.5,1.55,0.75
18,16,"Rio Cubillin",20.77,12.33,0.5,1.6,0.75
19,26,"Rio Chambo",43.80,11.49,0.5,1.06,0.97
20,6,"Rio Blanco",28.98,11.92,0.5,1.37,0.75
21,10,"Rio Chambo",0.38,11.83,0.5,1.05,0.8
22,21,"Rio Matus",29.75,11.24,0.5,1.06,0.95
23,20,"Rio Collanes",27.88,11.24,0.5,1.66,0.75
24,20,"Rio Blanco",60.64,12.65,0.5,1.65,0.75
25,67,"Quebrada Basacón",39.64,10.6,0.5,1,0.99
26,21,"Rio Chambo",54.35,10.62,0.5,1.06,0.97
27,6,"Rio Candelaria",16.01,13.01,0.5,1.52,0.75
28,25,"Quebrada Chilcachaca",52.25,10.32,0.5,1,0.99
29,30,"Quebrada del Rayo",52.89,11.23,0.5,1,0.99
30,67,"Rio Guano",64.27,11.54,0.5,1,0.99
31,19,"Rio Guano",17.51,10.85,0.5,1,0.99
32,72,"Quebrada Las Abras",65.03,10.27,0.5,1,0.99
33,31,"Quebrada de Chacón",40.15,11.14,0.5,1,0.99
34,19,"Rio Chambo",84.07,11.58,0.5,1.07,0.96
35,71,"Quebrada Guaslín",33.58,10.08,0.5,1,0.9
36,38,"Rio Cajabamba",133.84,12.18,0.5,1.45,0.8
37,38,"Rio Chimborazo",174.94,10.65,0.5,1.15,0.85
38,39,"Rio Chibunga",71.91,9.49,0.5,1,0.9
39,71,"Rio Chibunga",37.54,7.33,0.5,1,0.9
40,34,"Rio Chibunga",3.81,9.55,0.5,1,0.9
41,71,"Quebrada Gualgalomon",44.53,10.73,0.5,1,0.9
42,39,"Quebrada Cacha",28.44,10.35,0.5,1,0.9
43,50,"Rio Alao",89.44,12.48,0.5,1.52,0.75
44,49,"Rio Chambo",51.52,11.08,0.5,1.08,0.95
45,34,"Rio Chambo",34.07,10.62,0.5,1.07,0.96
46,45,"Rio Ulpín",63.08,12.57,0.5,1.1,0.9
47,45,"Rio Chambo",2.06,11.64,0.5,1.07,0.96
48,47,"Rio Daldal",30.49,11.4,0.5,1.1,0.9
49,50,"Rio Chambo",13.51,11.56,0.5,1.08,0.95
50,47,"Rio Chambo",43.49,11.95,0.5,1.07,0.93
51,49,"Rio Huargalla",87.38,13.79,0.5,1.25,0.9
52,74,"Rio Chidu",95.09,12.05,0.5,1.2,0.85
53,58,"Rio Llinllin",80.18,9.97,0.5,1.2,0.85
54,55,"Rio Gahuljon",31.83,12.82,0.5,1.07,0.9
55,58,"Rio Sasapud",0.32,13.11,0.5,1,0.9
56,62,"Quebrada Tasayo",43.21,10.91,0.5,1.4,0.75
57,55,"Rio Sasapud",68.34,11.45,0.5,1.2,0.85
58,60,"Rio Columbe",14.59,11.44,0.5,1.05,0.9
59,44,"Rio Guamote",55.18,10.79,0.5,1,0.9
60,59,"Rio Columbe",31.56,13.65,0.5,1.05,0.9
61,60,"Rio Guashi",108.26,14.35,0.5,1.25,0.9
62,68,"Rio Osogoche",48.81,13.38,0.5,1.43,0.75
63,65,"Quebrada Yanarumi",37.13,12.59,0.5,1.4,0.75
64,65,"Rio Cebadas",5.46,13.77,0.5,1.25,0.75
65,44,"Rio Cebadas",203.85,11.14,0.5,1.25,0.75
66,68,"Rio Atillo",93.02,13.23,0.5,1.4,0.75
67,72,"Rio Guano",41.25,14.28,0.5,1,0.99
68,64,"Rio Atillo",21.59,14.17,0.5,1.25,0.75
69,62,"Rio Osogoche",107.19,11.75,0.5,1.35,0.75
70,64,"Rio Yasipán",150.60,11.19,0.5,1.4,0.75
71,40,"Rio Chibunga",0.00,10.02,0.5,1,0.9
72,31,"Rio Guano",0.79,12.79,0.5,1,0.99
73,0,"Rio Chambo",16.08,11.66,0.5,1.05,0.99
74,59,"Rio Chidu+Laime",118.98,11.8,0.5,1.1,0.87
75,43,"Rio Alao",96.13,14.33,0.5,1.75,0.7
76,51,"Rio Huargalla",103.63,12.74,0.5,1.3,0.9
