"id","pointString","name","irrigationArea","winterArea","summerArea","annualArea","source","type","winterDemand","summerDemand","autumnDemand","springDemand","annualDemand","annualVolume","program","benefitedFamilies","agriculturalZone","lastEditedDate","lastEditedUser","alias","returnRate","subcatchmentMELCAid"
1,"pointString","name",0,0,0,0,"source","type",0,0,0,0,0,0,"program",0,"agriculturalZone",2020-09-12,0,"alias",0,1
2,"pointString","name",1,1,1,1,"source","type",0,0,0,0,0,0,"program",1,"agriculturalZone",2020-09-13,1,"alias",0,2
3,"pointString","name",2,2,2,2,"source","type",0,0,0,0,0,0,"program",2,"agriculturalZone",2020-09-14,2,"alias",0,3
4,"pointString","name",3,3,3,3,"source","type",0,0,0,0,0,0,"program",3,"agriculturalZone",2020-09-15,3,"alias",0,4
5,"pointString","name",4,4,4,4,"source","type",0,0,0,0,0,0,"program",4,"agriculturalZone",2020-09-16,4,"alias",0,5
6,"pointString","name",5,5,5,5,"source","type",0,0,0,0,0,0,"program",5,"agriculturalZone",2020-09-17,5,"alias",0,6
7,"pointString","name",6,6,6,6,"source","type",0,0,0,0,0,0,"program",6,"agriculturalZone",2020-09-18,6,"alias",0,7
8,"pointString","name",7,7,7,7,"source","type",0,0,0,0,0,0,"program",7,"agriculturalZone",2020-09-19,7,"alias",0,8
9,"pointString","name",8,8,8,8,"source","type",0,0,0,0,0,0,"program",8,"agriculturalZone",2020-09-20,8,"alias",0,9
10,"pointString","name",9,9,9,9,"source","type",0,0,0,0,0,0,"program",9,"agriculturalZone",2020-09-21,9,"alias",0,10
11,"pointString","name",10,10,10,10,"source","type",0,0,0,0,0,0,"program",10,"agriculturalZone",2020-09-22,10,"alias",0,11
12,"pointString","name",11,11,11,11,"source","type",0,0,0,0,0,0,"program",11,"agriculturalZone",2020-09-23,11,"alias",0,12
13,"pointString","name",12,12,12,12,"source","type",0,0,0,0,0,0,"program",12,"agriculturalZone",2020-09-24,12,"alias",0,13
14,"pointString","name",13,13,13,13,"source","type",0,0,0,0,0,0,"program",13,"agriculturalZone",2020-09-25,13,"alias",0,14
15,"pointString","name",14,14,14,14,"source","type",0,0,0,0,0,0,"program",14,"agriculturalZone",2020-09-26,14,"alias",0,15
16,"pointString","name",15,15,15,15,"source","type",0,0,0,0,0,0,"program",15,"agriculturalZone",2020-09-27,15,"alias",0,16
17,"pointString","name",16,16,16,16,"source","type",0,0,0,0,0,0,"program",16,"agriculturalZone",2020-09-28,16,"alias",0,17
18,"pointString","name",17,17,17,17,"source","type",0,0,0,0,0,0,"program",17,"agriculturalZone",2020-09-29,17,"alias",0,18
19,"pointString","name",18,18,18,18,"source","type",0,0,0,0,0,0,"program",18,"agriculturalZone",2020-09-30,18,"alias",0,19
20,"pointString","name",19,19,19,19,"source","type",0,0,0,0,0,0,"program",19,"agriculturalZone",2020-10-01,19,"alias",0,20
21,"pointString","name",20,20,20,20,"source","type",0,0,0,0,0,0,"program",20,"agriculturalZone",2020-10-02,20,"alias",0,21
22,"pointString","name",21,21,21,21,"source","type",0,0,0,0,0,0,"program",21,"agriculturalZone",2020-10-03,21,"alias",0,22
23,"pointString","name",22,22,22,22,"source","type",0,0,0,0,0,0,"program",22,"agriculturalZone",2020-10-04,22,"alias",0,23
24,"pointString","name",23,23,23,23,"source","type",0,0,0,0,0,0,"program",23,"agriculturalZone",2020-10-05,23,"alias",0,24
25,"pointString","name",24,24,24,24,"source","type",0,0,0,0,0,0,"program",24,"agriculturalZone",2020-10-06,24,"alias",0,25
